y_test,y_pred,date,day_of_week_char
85494.766,93466.195,2024-09-01,Su
117422.765,110919.75,2024-09-02,Mo
125749.499,123250.02,2024-09-03,Tu
120643.793,131068.04,2024-09-04,We
100635.943,124627.96,2024-09-05,Th
105889.875,110399.2,2024-09-06,Fr
87622.445,85549.49,2024-09-07,Sa
91291.576,89255.56,2024-09-08,Su
127876.935,139025.5,2024-09-09,Mo
108179.99,128400.44,2024-09-10,Tu
107425.449,121649.3,2024-09-11,We
127116.066,142045.94,2024-09-12,Th
127498.018,117216.47,2024-09-13,Fr
117662.835,118558.734,2024-09-14,Sa
129232.106,139824.3,2024-09-15,Su
164316.251,164606.62,2024-09-16,Mo
142838.976,163970.66,2024-09-17,Tu
127658.071,134084.17,2024-09-18,We
135875.566,134223.06,2024-09-19,Th
120128.282,131064.19,2024-09-20,Fr
101550.969,103863.46,2024-09-21,Sa
113383.346,104784.016,2024-09-22,Su
139459.798,135715.77,2024-09-23,Mo
133318.063,150579.83,2024-09-24,Tu
125767.735,129538.73,2024-09-25,We
127402.512,125200.86,2024-09-26,Th
134220.993,128916.94,2024-09-27,Fr
120162.178,123478.336,2024-09-28,Sa
141363.482,168564.03,2024-09-29,Su
175831.817,179002.02,2024-09-30,Mo
186798.529,189309.38,2024-10-01,Tu
203017.585,203262.84,2024-10-02,We
201416.8,209592.73,2024-10-03,Th
207305.396,213464.7,2024-10-04,Fr
171522.449,194038.11,2024-10-05,Sa
177729.768,193953.58,2024-10-06,Su
203991.034,199534.95,2024-10-07,Mo
192372.835,182440.36,2024-10-08,Tu
177566.651,190740.86,2024-10-09,We
165295.302,190048.55,2024-10-10,Th
182627.003,180178.83,2024-10-11,Fr
166971.14,180986.8,2024-10-12,Sa
179667.193,185468.23,2024-10-13,Su
222993.784,225295.17,2024-10-14,Mo
228254.902,242850.4,2024-10-15,Tu
215828.374,244674.28,2024-10-16,We
207559.309,216489.02,2024-10-17,Th
185717.627,188857.14,2024-10-18,Fr
167041.234,174789.42,2024-10-19,Sa
178825.221,176171.22,2024-10-20,Su
216222.622,211163.4,2024-10-21,Mo
221348.341,225152.52,2024-10-22,Tu
226716.312,230511.52,2024-10-23,We
216918.574,224712.64,2024-10-24,Th
203137.063,207299.45,2024-10-25,Fr
171769.017,155722.27,2024-10-26,Sa
165290.6,167869.14,2024-10-27,Su
184101.007,207273.19,2024-10-28,Mo
216530.88,195981.73,2024-10-29,Tu
218012.723,231330.75,2024-10-30,We
200640.543,235169.6,2024-10-31,Th
201118.457,205129.84,2024-11-01,Fr
213025.612,211954.89,2024-11-02,Sa
237447.857,206796.17,2024-11-03,Su
302801.993,275616.4,2024-11-04,Mo
304626.73,323397.8,2024-11-05,Tu
313316.693,313627.94,2024-11-06,We
304297.195,328127.2,2024-11-07,Th
296577.739,313058.62,2024-11-08,Fr
267007.647,284946.22,2024-11-09,Sa
297896.826,302511.16,2024-11-10,Su
359013.03,359247.97,2024-11-11,Mo
379653.07,383670.53,2024-11-12,Tu
369510.06,389905.97,2024-11-13,We
347298.446,354670.3,2024-11-14,Th
307179.265,314724.06,2024-11-15,Fr
255629.284,280879.28,2024-11-16,Sa
293519.917,263324.78,2024-11-17,Su
339814.73,349097.03,2024-11-18,Mo
321157.711,325429.8,2024-11-19,Tu
352139.516,361867.1,2024-11-20,We
368178.297,365442.72,2024-11-21,Th
365830.393,387036.0,2024-11-22,Fr
314902.775,349979.1,2024-11-23,Sa
315342.541,302127.22,2024-11-24,Su
334883.775,364365.56,2024-11-25,Mo
