model,library,data,mae,r2,elapsed_time
RandomForest,MEALPY,Diabetes,42.69002125497647,0.47624742624623784,247.16939115524292
GradientBoosting,MEALPY,Diabetes,41.41484640107307,0.4848746848757024,75.72563147544861
XGBoost,MEALPY,Diabetes,41.108591658345766,0.48255723099007874,24.292893648147583
RandomForest,MEALPY,California Housing,0.38156308820466495,0.7598068332704089,8911.094190597534
GradientBoosting,MEALPY,California Housing,0.29329213082389566,0.8443817026643985,14074.216673135757
XGBoost,MEALPY,California Housing,0.29134376675179297,0.8454508259133207,377.21988582611084
RandomForest,MEALPY,Wine,0.08611111111111111,0.9319047619047619,51.04939842224121
GradientBoosting,MEALPY,Wine,0.08966588145009556,0.9422637459065313,33.210065841674805
XGBoost,MEALPY,Wine,0.09657426266413596,0.9382950293494107,40.1936981678009
